,TransactionNo,Items,DateTime,Daypart,DayType,date,time,location
32,13,Bread,2016-10-30 10:31:24,Morning,Weekend,2016-10-30,10:31:24,Deggendorf
33,13,Coffee,2016-10-30 10:31:24,Morning,Weekend,2016-10-30,10:31:24,Plattling
34,14,Bread,2016-10-30 10:32:46,Morning,Weekend,2016-10-30,10:32:46,Deggendorf
35,14,Medialuna,2016-10-30 10:32:46,Morning,Weekend,2016-10-30,10:32:46,Deggendorf
36,14,Pastry,2016-10-30 10:32:46,Morning,Weekend,2016-10-30,10:32:46,Plattling
37,15,Mineral water,2016-10-30 10:34:36,Morning,Weekend,2016-10-30,10:34:36,Wallersdorf
38,15,Scandinavian,2016-10-30 10:34:36,Morning,Weekend,2016-10-30,10:34:36,Wallersdorf
39,16,Bread,2016-10-30 10:37:08,Morning,Weekend,2016-10-30,10:37:08,Wallersdorf
40,16,Medialuna,2016-10-30 10:37:08,Morning,Weekend,2016-10-30,10:37:08,Wallersdorf
41,16,Coffee,2016-10-30 10:37:08,Morning,Weekend,2016-10-30,10:37:08,Plattling
42,17,Hot chocolate,2016-10-30 10:38:04,Morning,Weekend,2016-10-30,10:38:04,Plattling
43,18,Farm House,2016-10-30 10:41:56,Morning,Weekend,2016-10-30,10:41:56,Deggendorf
44,19,Farm House,2016-10-30 10:43:08,Morning,Weekend,2016-10-30,10:43:08,Deggendorf
45,19,Bread,2016-10-30 10:43:08,Morning,Weekend,2016-10-30,10:43:08,Plattling
46,20,Bread,2016-10-30 10:45:22,Morning,Weekend,2016-10-30,10:45:22,Wallersdorf
47,20,Medialuna,2016-10-30 10:45:22,Morning,Weekend,2016-10-30,10:45:22,Deggendorf
48,21,Coffee,2016-10-30 10:49:29,Morning,Weekend,2016-10-30,10:49:29,Wallersdorf
49,21,Coffee,2016-10-30 10:49:29,Morning,Weekend,2016-10-30,10:49:29,Deggendorf
50,21,Medialuna,2016-10-30 10:49:29,Morning,Weekend,2016-10-30,10:49:29,Plattling
51,21,Bread,2016-10-30 10:49:29,Morning,Weekend,2016-10-30,10:49:29,Plattling
52,22,Jam,2016-10-30 10:52:15,Morning,Weekend,2016-10-30,10:52:15,Wallersdorf
53,23,Scandinavian,2016-10-30 10:53:49,Morning,Weekend,2016-10-30,10:53:49,Plattling
54,23,Muffin,2016-10-30 10:53:49,Morning,Weekend,2016-10-30,10:53:49,Wallersdorf
55,24,Bread,2016-10-30 10:54:33,Morning,Weekend,2016-10-30,10:54:33,Plattling
56,25,Scandinavian,2016-10-30 10:55:22,Morning,Weekend,2016-10-30,10:55:22,Deggendorf
57,26,Fudge,2016-10-30 10:56:08,Morning,Weekend,2016-10-30,10:56:08,Plattling
58,27,Scandinavian,2016-10-30 11:02:19,Morning,Weekend,2016-10-30,11:02:19,Deggendorf
59,28,Coffee,2016-10-30 11:03:24,Morning,Weekend,2016-10-30,11:03:24,Deggendorf
60,28,Bread,2016-10-30 11:03:24,Morning,Weekend,2016-10-30,11:03:24,Deggendorf
61,29,Bread,2016-10-30 11:05:30,Morning,Weekend,2016-10-30,11:05:30,Plattling
62,29,Jam,2016-10-30 11:05:30,Morning,Weekend,2016-10-30,11:05:30,Deggendorf
63,30,Bread,2016-10-30 11:07:19,Morning,Weekend,2016-10-30,11:07:19,Plattling
64,31,Basket,2016-10-30 11:12:56,Morning,Weekend,2016-10-30,11:12:56,Wallersdorf
65,32,Scandinavian,2016-10-30 11:16:15,Morning,Weekend,2016-10-30,11:16:15,Deggendorf
66,32,Muffin,2016-10-30 11:16:15,Morning,Weekend,2016-10-30,11:16:15,Deggendorf
67,33,Coffee,2016-10-30 11:22:49,Morning,Weekend,2016-10-30,11:22:49,Deggendorf
68,34,Coffee,2016-10-30 11:25:45,Morning,Weekend,2016-10-30,11:25:45,Plattling
69,34,Muffin,2016-10-30 11:25:45,Morning,Weekend,2016-10-30,11:25:45,Plattling
70,35,Muffin,2016-10-30 11:27:34,Morning,Weekend,2016-10-30,11:27:34,Deggendorf
71,35,Scandinavian,2016-10-30 11:27:34,Morning,Weekend,2016-10-30,11:27:34,Plattling
72,36,Tea,2016-10-30 11:33:08,Morning,Weekend,2016-10-30,11:33:08,Wallersdorf
73,36,Bread,2016-10-30 11:33:08,Morning,Weekend,2016-10-30,11:33:08,Wallersdorf
74,37,Coffee,2016-10-30 11:37:10,Morning,Weekend,2016-10-30,11:37:10,Deggendorf
75,37,Bread,2016-10-30 11:37:10,Morning,Weekend,2016-10-30,11:37:10,Deggendorf
76,38,Bread,2016-10-30 11:42:40,Morning,Weekend,2016-10-30,11:42:40,Wallersdorf
77,38,Tea,2016-10-30 11:42:40,Morning,Weekend,2016-10-30,11:42:40,Wallersdorf
78,39,Scandinavian,2016-10-30 11:44:31,Morning,Weekend,2016-10-30,11:44:31,Plattling
79,40,Juice,2016-10-30 11:55:51,Morning,Weekend,2016-10-30,11:55:51,Plattling
80,40,Tartine,2016-10-30 11:55:51,Morning,Weekend,2016-10-30,11:55:51,Deggendorf
81,40,Coffee,2016-10-30 11:55:51,Morning,Weekend,2016-10-30,11:55:51,Wallersdorf
82,40,Muffin,2016-10-30 11:55:51,Morning,Weekend,2016-10-30,11:55:51,Plattling
83,41,Scandinavian,2016-10-30 11:57:06,Morning,Weekend,2016-10-30,11:57:06,Plattling
84,42,Bread,2016-10-30 11:57:45,Morning,Weekend,2016-10-30,11:57:45,Deggendorf
85,42,Tea,2016-10-30 11:57:45,Morning,Weekend,2016-10-30,11:57:45,Deggendorf
86,43,Scandinavian,2016-10-30 12:00:22,Afternoon,Weekend,2016-10-30,12:00:22,Deggendorf
87,43,Fudge,2016-10-30 12:00:22,Afternoon,Weekend,2016-10-30,12:00:22,Wallersdorf
88,44,Coffee,2016-10-30 12:05:47,Afternoon,Weekend,2016-10-30,12:05:47,Plattling
89,44,Medialuna,2016-10-30 12:05:47,Afternoon,Weekend,2016-10-30,12:05:47,Deggendorf
90,45,Coffee,2016-10-30 12:08:36,Afternoon,Weekend,2016-10-30,12:08:36,Plattling
91,45,Hot chocolate,2016-10-30 12:08:36,Afternoon,Weekend,2016-10-30,12:08:36,Wallersdorf
92,45,Medialuna,2016-10-30 12:08:36,Afternoon,Weekend,2016-10-30,12:08:36,Wallersdorf
93,46,Coffee,2016-10-30 12:09:04,Afternoon,Weekend,2016-10-30,12:09:04,Plattling
94,47,Ella's Kitchen Pouches,2016-10-30 12:15:29,Afternoon,Weekend,2016-10-30,12:15:29,Plattling
95,47,Juice,2016-10-30 12:15:29,Afternoon,Weekend,2016-10-30,12:15:29,Plattling
96,47,Bread,2016-10-30 12:15:29,Afternoon,Weekend,2016-10-30,12:15:29,Wallersdorf
97,47,Muffin,2016-10-30 12:15:29,Afternoon,Weekend,2016-10-30,12:15:29,Deggendorf
98,47,Jam,2016-10-30 12:15:29,Afternoon,Weekend,2016-10-30,12:15:29,Wallersdorf
99,48,Coffee,2016-10-30 12:17:02,Afternoon,Weekend,2016-10-30,12:17:02,Deggendorf
100,49,Coffee,2016-10-30 12:23:01,Afternoon,Weekend,2016-10-30,12:23:01,Deggendorf
101,49,Coffee,2016-10-30 12:23:01,Afternoon,Weekend,2016-10-30,12:23:01,Plattling
102,49,Medialuna,2016-10-30 12:23:01,Afternoon,Weekend,2016-10-30,12:23:01,Plattling
103,50,Bread,2016-10-30 12:25:11,Afternoon,Weekend,2016-10-30,12:25:11,Deggendorf
104,50,Victorian Sponge,2016-10-30 12:25:11,Afternoon,Weekend,2016-10-30,12:25:11,Wallersdorf
105,51,Bread,2016-10-30 12:26:58,Afternoon,Weekend,2016-10-30,12:26:58,Wallersdorf
106,52,Scandinavian,2016-10-30 12:28:07,Afternoon,Weekend,2016-10-30,12:28:07,Deggendorf
107,54,Bread,2016-10-30 12:33:08,Afternoon,Weekend,2016-10-30,12:33:08,Deggendorf
108,55,Frittata,2016-10-30 12:38:06,Afternoon,Weekend,2016-10-30,12:38:06,Plattling
109,55,Coffee,2016-10-30 12:38:06,Afternoon,Weekend,2016-10-30,12:38:06,Deggendorf
110,55,Tea,2016-10-30 12:38:06,Afternoon,Weekend,2016-10-30,12:38:06,Plattling
111,55,Hearty & Seasonal,2016-10-30 12:38:06,Afternoon,Weekend,2016-10-30,12:38:06,Deggendorf
112,56,Coffee,2016-10-30 12:39:27,Afternoon,Weekend,2016-10-30,12:39:27,Plattling
113,56,Frittata,2016-10-30 12:39:27,Afternoon,Weekend,2016-10-30,12:39:27,Deggendorf
114,57,Scandinavian,2016-10-30 12:45:48,Afternoon,Weekend,2016-10-30,12:45:48,Deggendorf
115,58,Victorian Sponge,2016-10-30 12:59:29,Afternoon,Weekend,2016-10-30,12:59:29,Plattling
116,58,Hot chocolate,2016-10-30 12:59:29,Afternoon,Weekend,2016-10-30,12:59:29,Deggendorf
117,58,Tea,2016-10-30 12:59:29,Afternoon,Weekend,2016-10-30,12:59:29,Deggendorf
118,58,Soup,2016-10-30 12:59:29,Afternoon,Weekend,2016-10-30,12:59:29,Wallersdorf
119,59,Tea,2016-10-30 13:02:04,Afternoon,Weekend,2016-10-30,13:02:04,Wallersdorf
120,60,Cookies,2016-10-30 13:14:04,Afternoon,Weekend,2016-10-30,13:14:04,Deggendorf
121,60,Coffee,2016-10-30 13:14:04,Afternoon,Weekend,2016-10-30,13:14:04,Wallersdorf
122,60,Juice,2016-10-30 13:14:04,Afternoon,Weekend,2016-10-30,13:14:04,Wallersdorf
123,60,Coffee,2016-10-30 13:14:04,Afternoon,Weekend,2016-10-30,13:14:04,Plattling
124,61,Coffee,2016-10-30 13:15:38,Afternoon,Weekend,2016-10-30,13:15:38,Wallersdorf
125,62,Pick and Mix Bowls,2016-10-30 13:24:00,Afternoon,Weekend,2016-10-30,13:24:00,Wallersdorf
126,62,Hearty & Seasonal,2016-10-30 13:24:00,Afternoon,Weekend,2016-10-30,13:24:00,Deggendorf
127,62,Hearty & Seasonal,2016-10-30 13:24:00,Afternoon,Weekend,2016-10-30,13:24:00,Wallersdorf
128,62,Coffee,2016-10-30 13:24:00,Afternoon,Weekend,2016-10-30,13:24:00,Wallersdorf
129,62,Smoothies,2016-10-30 13:24:00,Afternoon,Weekend,2016-10-30,13:24:00,Wallersdorf
130,62,Coffee,2016-10-30 13:24:00,Afternoon,Weekend,2016-10-30,13:24:00,Deggendorf
131,63,Coffee,2016-10-30 13:33:12,Afternoon,Weekend,2016-10-30,13:33:12,Wallersdorf
132,64,Cake,2016-10-30 13:34:07,Afternoon,Weekend,2016-10-30,13:34:07,Deggendorf
133,65,Tartine,2016-10-30 13:37:25,Afternoon,Weekend,2016-10-30,13:37:25,Deggendorf
134,65,Mighty Protein,2016-10-30 13:37:25,Afternoon,Weekend,2016-10-30,13:37:25,Deggendorf
135,65,Tea,2016-10-30 13:37:25,Afternoon,Weekend,2016-10-30,13:37:25,Deggendorf
136,65,Coffee,2016-10-30 13:37:25,Afternoon,Weekend,2016-10-30,13:37:25,Deggendorf
137,66,Hearty & Seasonal,2016-10-30 13:40:20,Afternoon,Weekend,2016-10-30,13:40:20,Deggendorf
138,66,Frittata,2016-10-30 13:40:20,Afternoon,Weekend,2016-10-30,13:40:20,Plattling
139,66,Mineral water,2016-10-30 13:40:20,Afternoon,Weekend,2016-10-30,13:40:20,Plattling
140,67,Hearty & Seasonal,2016-10-30 13:46:48,Afternoon,Weekend,2016-10-30,13:46:48,Wallersdorf
141,67,Mineral water,2016-10-30 13:46:48,Afternoon,Weekend,2016-10-30,13:46:48,Plattling
142,67,Muffin,2016-10-30 13:46:48,Afternoon,Weekend,2016-10-30,13:46:48,Plattling
143,68,Frittata,2016-10-30 13:49:36,Afternoon,Weekend,2016-10-30,13:49:36,Deggendorf
144,68,Coffee,2016-10-30 13:49:36,Afternoon,Weekend,2016-10-30,13:49:36,Deggendorf
145,68,Tea,2016-10-30 13:49:36,Afternoon,Weekend,2016-10-30,13:49:36,Wallersdorf
146,68,Scandinavian,2016-10-30 13:49:36,Afternoon,Weekend,2016-10-30,13:49:36,Wallersdorf
147,68,Chicken sand,2016-10-30 13:49:36,Afternoon,Weekend,2016-10-30,13:49:36,Plattling
148,69,Bread,2016-10-30 13:51:49,Afternoon,Weekend,2016-10-30,13:51:49,Deggendorf
149,69,Tea,2016-10-30 13:51:49,Afternoon,Weekend,2016-10-30,13:51:49,Plattling
150,69,Victorian Sponge,2016-10-30 13:51:49,Afternoon,Weekend,2016-10-30,13:51:49,Deggendorf
151,70,Fudge,2016-10-30 13:54:42,Afternoon,Weekend,2016-10-30,13:54:42,Deggendorf
152,71,Muffin,2016-10-30 13:56:08,Afternoon,Weekend,2016-10-30,13:56:08,Wallersdorf
153,72,Coffee,2016-10-30 14:21:38,Afternoon,Weekend,2016-10-30,14:21:38,Plattling
154,72,Bread,2016-10-30 14:21:38,Afternoon,Weekend,2016-10-30,14:21:38,Deggendorf
155,73,Bread,2016-10-30 14:22:39,Afternoon,Weekend,2016-10-30,14:22:39,Deggendorf
156,74,Coffee,2016-10-30 14:24:03,Afternoon,Weekend,2016-10-30,14:24:03,Wallersdorf
157,74,Bread,2016-10-30 14:24:03,Afternoon,Weekend,2016-10-30,14:24:03,Plattling
158,75,Jam,2016-10-30 14:32:26,Afternoon,Weekend,2016-10-30,14:32:26,Wallersdorf
159,75,Frittata,2016-10-30 14:32:26,Afternoon,Weekend,2016-10-30,14:32:26,Deggendorf
160,76,Coffee,2016-10-30 14:32:49,Afternoon,Weekend,2016-10-30,14:32:49,Deggendorf
161,77,Scandinavian,2016-10-30 14:35:36,Afternoon,Weekend,2016-10-30,14:35:36,Deggendorf
162,78,Fudge,2016-10-30 14:42:29,Afternoon,Weekend,2016-10-30,14:42:29,Wallersdorf
163,79,Fudge,2016-10-30 14:45:44,Afternoon,Weekend,2016-10-30,14:45:44,Plattling
164,79,Tea,2016-10-30 14:45:44,Afternoon,Weekend,2016-10-30,14:45:44,Wallersdorf
165,79,Coffee,2016-10-30 14:45:44,Afternoon,Weekend,2016-10-30,14:45:44,Wallersdorf
166,79,Muffin,2016-10-30 14:45:44,Afternoon,Weekend,2016-10-30,14:45:44,Deggendorf
167,80,Frittata,2016-10-30 14:48:40,Afternoon,Weekend,2016-10-30,14:48:40,Plattling
168,80,Bread,2016-10-30 14:48:40,Afternoon,Weekend,2016-10-30,14:48:40,Deggendorf
169,80,Coffee,2016-10-30 14:48:40,Afternoon,Weekend,2016-10-30,14:48:40,Wallersdorf
170,81,Coffee,2016-10-31 08:28:31,Morning,Weekday,2016-10-31,08:28:31,Deggendorf
171,81,Cake,2016-10-31 08:28:31,Morning,Weekday,2016-10-31,08:28:31,Deggendorf
172,82,Tartine,2016-10-31 08:47:05,Morning,Weekday,2016-10-31,08:47:05,Plattling
173,82,Bread,2016-10-31 08:47:05,Morning,Weekday,2016-10-31,08:47:05,Plattling
174,83,Coffee,2016-10-31 08:57:47,Morning,Weekday,2016-10-31,08:57:47,Plattling
175,83,Bread,2016-10-31 08:57:47,Morning,Weekday,2016-10-31,08:57:47,Deggendorf
176,84,Bread,2016-10-31 09:04:06,Morning,Weekday,2016-10-31,09:04:06,Deggendorf
177,85,Coffee,2016-10-31 09:10:09,Morning,Weekday,2016-10-31,09:10:09,Deggendorf
178,85,Coffee,2016-10-31 09:10:09,Morning,Weekday,2016-10-31,09:10:09,Wallersdorf
179,85,Pastry,2016-10-31 09:10:09,Morning,Weekday,2016-10-31,09:10:09,Deggendorf
180,85,Medialuna,2016-10-31 09:10:09,Morning,Weekday,2016-10-31,09:10:09,Plattling
181,86,Juice,2016-10-31 09:11:08,Morning,Weekday,2016-10-31,09:11:08,Deggendorf
182,87,Bread,2016-10-31 09:12:56,Morning,Weekday,2016-10-31,09:12:56,Deggendorf
183,88,Coffee,2016-10-31 09:16:01,Morning,Weekday,2016-10-31,09:16:01,Plattling
184,88,Coffee,2016-10-31 09:16:01,Morning,Weekday,2016-10-31,09:16:01,Deggendorf
185,88,Jam,2016-10-31 09:16:01,Morning,Weekday,2016-10-31,09:16:01,Wallersdorf
186,89,Bread,2016-10-31 09:19:41,Morning,Weekday,2016-10-31,09:19:41,Wallersdorf
187,90,Bread,2016-10-31 09:20:12,Morning,Weekday,2016-10-31,09:20:12,Plattling
188,90,Coffee,2016-10-31 09:20:12,Morning,Weekday,2016-10-31,09:20:12,Deggendorf
189,91,Tea,2016-10-31 09:22:48,Morning,Weekday,2016-10-31,09:22:48,Wallersdorf
190,92,Coffee,2016-10-31 09:27:11,Morning,Weekday,2016-10-31,09:27:11,Deggendorf
191,93,Bread,2016-10-31 09:29:23,Morning,Weekday,2016-10-31,09:29:23,Deggendorf
192,93,Coke,2016-10-31 09:29:23,Morning,Weekday,2016-10-31,09:29:23,Plattling
193,94,Coffee,2016-10-31 09:39:09,Morning,Weekday,2016-10-31,09:39:09,Deggendorf
194,94,Coffee,2016-10-31 09:39:09,Morning,Weekday,2016-10-31,09:39:09,Deggendorf
195,95,Tea,2016-10-31 09:43:37,Morning,Weekday,2016-10-31,09:43:37,Deggendorf
196,95,Pastry,2016-10-31 09:43:37,Morning,Weekday,2016-10-31,09:43:37,Deggendorf
197,95,Farm House,2016-10-31 09:43:37,Morning,Weekday,2016-10-31,09:43:37,Wallersdorf
198,96,Pastry,2016-10-31 09:46:48,Morning,Weekday,2016-10-31,09:46:48,Wallersdorf
199,96,Pastry,2016-10-31 09:46:48,Morning,Weekday,2016-10-31,09:46:48,Plattling
200,96,Coffee,2016-10-31 09:46:48,Morning,Weekday,2016-10-31,09:46:48,Wallersdorf
201,96,Juice,2016-10-31 09:46:48,Morning,Weekday,2016-10-31,09:46:48,Plattling
202,97,Coffee,2016-10-31 09:51:11,Morning,Weekday,2016-10-31,09:51:11,Wallersdorf
203,97,Pastry,2016-10-31 09:51:11,Morning,Weekday,2016-10-31,09:51:11,Plattling
204,97,Juice,2016-10-31 09:51:11,Morning,Weekday,2016-10-31,09:51:11,Wallersdorf
205,98,Farm House,2016-10-31 09:52:22,Morning,Weekday,2016-10-31,09:52:22,Plattling
206,99,Pastry,2016-10-31 09:56:37,Morning,Weekday,2016-10-31,09:56:37,Deggendorf
207,99,Pastry,2016-10-31 09:56:37,Morning,Weekday,2016-10-31,09:56:37,Deggendorf
208,99,Coffee,2016-10-31 09:56:37,Morning,Weekday,2016-10-31,09:56:37,Deggendorf
209,99,Bread,2016-10-31 09:56:37,Morning,Weekday,2016-10-31,09:56:37,Plattling
210,100,Bread,2016-10-31 09:58:06,Morning,Weekday,2016-10-31,09:58:06,Deggendorf
211,101,Coffee,2016-10-31 10:04:02,Morning,Weekday,2016-10-31,10:04:02,Deggendorf
212,101,Pastry,2016-10-31 10:04:02,Morning,Weekday,2016-10-31,10:04:02,Deggendorf
213,102,Farm House,2016-10-31 10:04:44,Morning,Weekday,2016-10-31,10:04:44,Plattling
214,103,Bread,2016-10-31 10:07:40,Morning,Weekday,2016-10-31,10:07:40,Deggendorf
215,104,Coffee,2016-10-31 10:12:48,Morning,Weekday,2016-10-31,10:12:48,Deggendorf
216,104,Coffee,2016-10-31 10:12:48,Morning,Weekday,2016-10-31,10:12:48,Deggendorf
217,104,Medialuna,2016-10-31 10:12:48,Morning,Weekday,2016-10-31,10:12:48,Plattling
218,104,Muffin,2016-10-31 10:12:48,Morning,Weekday,2016-10-31,10:12:48,Plattling
219,104,Coffee,2016-10-31 10:12:48,Morning,Weekday,2016-10-31,10:12:48,Deggendorf
220,105,Coffee,2016-10-31 10:21:29,Morning,Weekday,2016-10-31,10:21:29,Deggendorf
221,105,Tea,2016-10-31 10:21:29,Morning,Weekday,2016-10-31,10:21:29,Plattling
222,105,Cake,2016-10-31 10:21:29,Morning,Weekday,2016-10-31,10:21:29,Plattling
223,106,Coffee,2016-10-31 10:24:21,Morning,Weekday,2016-10-31,10:24:21,Wallersdorf
224,106,Coffee,2016-10-31 10:24:21,Morning,Weekday,2016-10-31,10:24:21,Deggendorf
225,106,Pastry,2016-10-31 10:24:21,Morning,Weekday,2016-10-31,10:24:21,Plattling
226,106,Pastry,2016-10-31 10:24:21,Morning,Weekday,2016-10-31,10:24:21,Plattling
227,107,Coffee,2016-10-31 10:27:30,Morning,Weekday,2016-10-31,10:27:30,Deggendorf
228,107,Tea,2016-10-31 10:27:30,Morning,Weekday,2016-10-31,10:27:30,Plattling
229,108,Farm House,2016-10-31 10:31:05,Morning,Weekday,2016-10-31,10:31:05,Wallersdorf
230,108,Muffin,2016-10-31 10:31:05,Morning,Weekday,2016-10-31,10:31:05,Deggendorf
231,109,Bread,2016-10-31 10:35:23,Morning,Weekday,2016-10-31,10:35:23,Wallersdorf
232,109,Muffin,2016-10-31 10:35:23,Morning,Weekday,2016-10-31,10:35:23,Plattling
233,109,Pastry,2016-10-31 10:35:23,Morning,Weekday,2016-10-31,10:35:23,Deggendorf
234,110,Pastry,2016-10-31 10:36:37,Morning,Weekday,2016-10-31,10:36:37,Deggendorf
235,111,Coffee,2016-10-31 10:38:09,Morning,Weekday,2016-10-31,10:38:09,Deggendorf
236,112,Coffee,2016-10-31 10:59:17,Morning,Weekday,2016-10-31,10:59:17,Plattling
237,113,Coffee,2016-10-31 11:02:37,Morning,Weekday,2016-10-31,11:02:37,Wallersdorf
238,113,Cake,2016-10-31 11:02:37,Morning,Weekday,2016-10-31,11:02:37,Plattling
239,114,Farm House,2016-10-31 11:05:45,Morning,Weekday,2016-10-31,11:05:45,Wallersdorf
240,115,Bread,2016-10-31 11:08:53,Morning,Weekday,2016-10-31,11:08:53,Deggendorf
241,116,Coffee,2016-10-31 11:11:01,Morning,Weekday,2016-10-31,11:11:01,Plattling
242,117,Cookies,2016-10-31 11:13:08,Morning,Weekday,2016-10-31,11:13:08,Wallersdorf
243,117,Cake,2016-10-31 11:13:08,Morning,Weekday,2016-10-31,11:13:08,Plattling
244,117,Coffee,2016-10-31 11:13:08,Morning,Weekday,2016-10-31,11:13:08,Plattling
245,117,My-5 Fruit Shoot,2016-10-31 11:13:08,Morning,Weekday,2016-10-31,11:13:08,Deggendorf
246,118,Cookies,2016-10-31 11:18:29,Morning,Weekday,2016-10-31,11:18:29,Wallersdorf
247,118,Cookies,2016-10-31 11:18:29,Morning,Weekday,2016-10-31,11:18:29,Wallersdorf
248,118,Tea,2016-10-31 11:18:29,Morning,Weekday,2016-10-31,11:18:29,Deggendorf
249,118,Pastry,2016-10-31 11:18:29,Morning,Weekday,2016-10-31,11:18:29,Deggendorf
250,119,Coffee,2016-10-31 11:25:56,Morning,Weekday,2016-10-31,11:25:56,Wallersdorf
251,119,Coffee,2016-10-31 11:25:56,Morning,Weekday,2016-10-31,11:25:56,Plattling
252,119,Muffin,2016-10-31 11:25:56,Morning,Weekday,2016-10-31,11:25:56,Plattling
253,120,Farm House,2016-10-31 11:29:01,Morning,Weekday,2016-10-31,11:29:01,Plattling
254,121,Coffee,2016-10-31 11:30:59,Morning,Weekday,2016-10-31,11:30:59,Plattling
255,121,Bread,2016-10-31 11:30:59,Morning,Weekday,2016-10-31,11:30:59,Deggendorf
256,122,Cookies,2016-10-31 11:37:30,Morning,Weekday,2016-10-31,11:37:30,Plattling
257,123,Jam,2016-10-31 11:42:05,Morning,Weekday,2016-10-31,11:42:05,Deggendorf
258,123,Coffee,2016-10-31 11:42:05,Morning,Weekday,2016-10-31,11:42:05,Deggendorf
259,123,Coffee,2016-10-31 11:42:05,Morning,Weekday,2016-10-31,11:42:05,Plattling
260,123,Juice,2016-10-31 11:42:05,Morning,Weekday,2016-10-31,11:42:05,Wallersdorf
261,124,Coffee,2016-10-31 11:43:10,Morning,Weekday,2016-10-31,11:43:10,Plattling
262,124,Soup,2016-10-31 11:43:10,Morning,Weekday,2016-10-31,11:43:10,Wallersdorf
263,125,Tea,2016-10-31 11:47:18,Morning,Weekday,2016-10-31,11:47:18,Plattling
264,126,Coffee,2016-10-31 11:52:43,Morning,Weekday,2016-10-31,11:52:43,Wallersdorf
265,126,Jam,2016-10-31 11:52:43,Morning,Weekday,2016-10-31,11:52:43,Deggendorf
266,127,Farm House,2016-10-31 11:53:11,Morning,Weekday,2016-10-31,11:53:11,Plattling
267,128,Tartine,2016-10-31 11:55:00,Morning,Weekday,2016-10-31,11:55:00,Deggendorf
268,128,Coffee,2016-10-31 11:55:00,Morning,Weekday,2016-10-31,11:55:00,Wallersdorf
269,128,Tea,2016-10-31 11:55:00,Morning,Weekday,2016-10-31,11:55:00,Wallersdorf
